date,combo,exposure,btc_price
2020-01-01,-0.1700718599033816,0.6,7200.17431640625
2020-01-02,-0.1666690821256038,0.6,6985.47021484375
2020-01-03,-0.1698343185863209,0.6,7344.88427734375
2020-01-04,-0.1698464594457157,0.6,7410.65673828125
2020-01-05,-0.0713700101703534,0.6,7411.3173828125
2020-01-06,-0.0948875222476481,0.6,7769.21923828125
2020-01-07,-0.1117542270531401,0.6,8163.6923828125
2020-01-08,-0.0998090198321891,0.5,8079.86279296875
2020-01-09,-0.1280289855072464,0.5,7879.0712890625
2020-01-10,-0.1377234299516908,0.5,8166.55419921875
2020-01-11,-0.1166292270531401,0.5,8037.53759765625
2020-01-12,-0.1491896453089245,0.5,8192.494140625
2020-01-13,-0.1415483409610984,0.5,8144.1943359375
2020-01-14,-0.1484927854055428,0.5,8827.7646484375
2020-01-15,-0.1357077612509534,0.5,8807.0107421875
2020-01-16,-0.1795434782608695,0.6,8723.7861328125
2020-01-17,-0.1812657004830918,0.6,8929.0380859375
2020-01-18,-0.1616679061784897,0.6,8942.80859375
2020-01-19,-0.1429384375794558,0.6,8706.2451171875
2020-01-20,-0.1541352974828375,0.6,8657.642578125
2020-01-21,-0.1537246694635138,0.6,8745.89453125
2020-01-22,-0.1579644355453852,0.6,8680.8759765625
2020-01-23,-0.1558335558098144,0.5,8406.515625
2020-01-24,-0.167959763539283,0.5,8445.4345703125
2020-01-25,-0.1620569857615052,0.5,8367.84765625
2020-01-26,-0.1688393719806763,0.5,8596.830078125
2020-01-27,-0.1726588164251208,0.5,8909.8193359375
2020-01-28,-0.1746600241545893,0.5,9358.58984375
2020-01-29,-0.1922252415458937,0.5,9316.6298828125
2020-01-30,-0.1795189422832443,0.6,9508.9931640625
2020-01-31,-0.1790372171370455,0.6,9350.529296875
2020-02-01,-0.1730939804220697,0.6,9392.875
2020-02-02,-0.1540058161708619,0.6,9344.365234375
2020-02-03,-0.2062264492753623,0.6,9293.521484375
2020-02-04,-0.2031153381642512,0.6,9180.962890625
2020-02-05,-0.1956268115942029,0.6,9613.423828125
2020-02-06,-0.1405012077294686,0.5,9729.8017578125
2020-02-07,-0.1606992753623188,0.5,9795.943359375
2020-02-08,-0.1530603864734299,0.5,9865.119140625
2020-02-09,-0.2302714646464646,0.5,10116.673828125
2020-02-10,-0.2383687417654809,0.5,9856.611328125
2020-02-11,-0.2303075396825397,0.5,10208.236328125
2020-02-12,-0.2306547619047619,0.5,10326.0546875
2020-02-13,-0.2181947168646253,0.6,10214.3798828125
2020-02-14,-0.2213585367404017,0.6,10312.1162109375
2020-02-15,-0.1648103864734299,0.6,9889.4248046875
2020-02-16,-0.159743452834986,0.6,9934.43359375
2020-02-17,-0.1527302949402491,0.6,9690.142578125
2020-02-18,-0.2014176065162908,0.6,10141.99609375
2020-02-19,-0.1490932176455632,0.6,9633.38671875
2020-02-20,-0.1601040872107806,0.5,9608.4755859375
2020-02-21,-0.154368961352657,0.5,9686.44140625
2020-02-22,-0.1617548309178744,0.5,9663.181640625
2020-02-23,-0.2092995169082125,0.5,9924.515625
2020-02-24,-0.2003907004830918,0.5,9650.1748046875
2020-02-25,-0.2032457729468599,0.5,9341.705078125
2020-02-26,-0.1377143719806763,0.5,8820.5224609375
2020-02-27,-0.1345742753623188,0.5,8784.494140625
2020-02-28,-0.1195034642766336,0.5,8672.455078125
2020-02-29,-0.1269722222222222,0.5,8599.5087890625
2020-03-01,-0.1510541889143148,0.5,8562.4541015625
2020-03-02,-0.1546097444698703,0.5,8869.669921875
2020-03-03,-0.1443488749046529,0.5,8787.7861328125
2020-03-04,-0.1417558797355708,0.5,8755.24609375
2020-03-05,-0.1752512077294686,0.6,9078.7626953125
2020-03-06,-0.1740507246376812,0.6,9122.5458984375
2020-03-07,-0.1662234299516908,0.6,8909.9541015625
2020-03-08,-0.1909607397115978,0.6,8108.1162109375
2020-03-09,-0.19443296193382,0.6,7923.64453125
2020-03-10,-0.1824082034797137,0.6,7909.7294921875
2020-03-11,-0.1804359812574915,0.6,7911.43017578125
2020-03-12,-0.1879119220151828,0.6,4970.7880859375
2020-03-13,-0.21067977915804,0.6,5563.70703125
2020-03-14,-0.1975759144237405,0.6,5200.3662109375
2020-03-15,-0.1735119047619047,0.6,5392.31494140625
2020-03-16,-0.2087948585231193,0.6,5014.47998046875
2020-03-17,-0.1985593512767426,0.6,5225.62939453125
2020-03-18,-0.2508461870255349,0.6,5238.4384765625
2020-03-19,-0.2821991890959283,0.6,6191.19287109375
2020-03-20,-0.21043961352657,0.6,6198.7783203125
2020-03-21,-0.1435108695652173,0.5,6185.06640625
2020-03-22,-0.1498164251207729,0.5,5830.2548828125
2020-03-23,-0.1357790581526279,0.5,6416.31494140625
2020-03-24,-0.1292403381642512,0.5,6734.8037109375
2020-03-25,-0.1752874396135265,0.5,6681.06298828125
2020-03-26,-0.1132771739130434,0.5,6716.4404296875
